,Al. USA - południe,Al. USA - północ,Banacha,Bazyliańska,Belwederska,Dworzec Wilenski (al. Solidarności),Dworzec Wileński Nowy( Targowa),Marszałkowska,Most Gdanski - ścieżka rowerowa,Most Gdański - ciąg pieszo-rowerowy,NSR - Solec - ciąg pieszo-rowerowy,NSR-Solec - ścieżka rowerowa,Rowery (Praska ścieżka rekreacyjna),Wybrzeże Helskie,Wysockiego,"Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn",Żwirki i Wigury/Trojdena1,Żwirki i Wigury/Trojdena2,temp,dayname
2014-08-01,,,,,,,,,,,,,,,,,,,,19.9,Friday
2014-08-02,,,,,,,,,,,,,,,,,,,,19.2,Saturday
2014-08-03,,,,,,,,,,,,,,,,,,,,18.5,Sunday
2014-08-04,,,,,,,,,,,,,,,,,,,,19.9,Monday
2014-08-05,,,,,,,,,,,,,,,,,,,,17.4,Tuesday
2014-08-06,,,,,,,,,,,,,,,,,,,,16.9,Wednesday
2014-08-07,,,,,,,,,,,,,,,,,,,,17.5,Thursday
2014-08-08,,,,,,,,,,,,,,,,,,,,17.3,Friday
2014-08-09,,,,,,,,,,,,,,,,,,,,15.2,Saturday
2014-08-10,,,,,,,,,,,,,,,,,,,,17.3,Sunday
2014-08-11,,,,,,,,,,,,,,,,,,,,18.8,Monday
2014-08-12,,,,,,,,,,,,,,,,,,,,17.4,Tuesday
2014-08-13,,,,,,,,,102.0,0.0,6.0,60.0,,,,,,,,13.0,Wednesday
2014-08-14,,,,,,,,,576.0,0.0,114.0,81.0,,,,,,,,17.6,Thursday
2014-08-15,,,,,,,,,2585.0,0.0,861.0,553.0,,,,,,,,13.3,Friday
2014-08-16,,,,,,,,,484.0,0.0,134.0,80.0,,,,,,,,13.1,Saturday
2014-08-17,,,,,,,,,1138.0,0.0,273.0,120.0,,,,,,,,12.4,Sunday
2014-08-18,,,,,,,,,971.0,0.0,172.0,126.0,,,,,,,,13.4,Monday
2014-08-19,,,,,,,,,1248.0,0.0,224.0,129.0,,,,,,,,11.9,Tuesday
2014-08-20,,,,,,,,,1334.0,0.0,262.0,173.0,,,,,,,,11.6,Wednesday
2014-08-21,,,,,,,,,731.0,0.0,100.0,78.0,,,,,,,,9.1,Thursday
2014-08-22,,,,,,,,,1130.0,0.0,207.0,249.0,,,,,,,,6.5,Friday
2014-08-23,,,,,,,,,2039.0,0.0,447.0,600.0,,,,,,,,11.3,Saturday
2014-08-24,,,,,,,,,136.0,0.0,31.0,48.0,,,,,,,,12.2,Sunday
2014-08-25,,,,,,,,,983.0,0.0,135.0,292.0,,,,,,,,9.0,Monday
2014-08-26,,,,,,,,,192.0,0.0,16.0,98.0,,,,,,,,9.9,Tuesday
2014-08-27,,,,,,,,,604.0,0.0,37.0,247.0,,,,,,,,6.5,Wednesday
2014-08-28,,,,,,,,,618.0,0.0,90.0,262.0,,,,,,,,9.8,Thursday
2014-08-29,,,,,,,,,1267.0,0.0,193.0,460.0,,,,,,,,8.8,Friday
2014-08-30,,,,,,,,,1583.0,0.0,411.0,500.0,,,,,,,,14.4,Saturday
2014-08-31,,,,,,,,,2124.0,0.0,551.0,637.0,,,,,,,,14.3,Sunday
