Data,startTyg,startM,Al. Jerozolimskie - suma,Al. Jerozolimskie płd.,Al. Jerozolimskie płn.,Al. USA - suma,Al. USA płd.,Al. USA płn.,Banacha,Bazyliańska,Belwederska,Dworzec Wileński (al. Solidarności),Dworzec Wileński (Targowa),Marsa,Marszałkowska,NSR Most Gdański - suma,NSR Most Gdański ciąg pieszo-rowerowy,NSR Most Gdański ścieżka rowerowa,NSR Solec - suma,NSR Solec ciąg pieszo-rowerowy,NSR Solec ścieżka rowerowa,Praska ścieżka rekreacyjna,Świętokrzyska/Emilii Plater - suma,Świętokrzyska/Emilii Plater płd.,Świętokrzyska/Emilii Plater płn.,Wybrzeże Helskie,Wysockiego,Żwirki i Wigury/Trojdena - suma,Żwirki i Wigury/Trojdena wsch.,Żwirki i Wigury/Trojdena zach.,temp_min,temp_avg,temp_max,deszcz,snieg,dzien_tygodnia
2014-08-01,2014-07-28,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,21.1,24.3,3.8,0.0,4
2014-08-02,2014-07-28,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,24.8,31.6,0.0,0.0,5
2014-08-03,2014-07-28,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,25.4,31.0,0.0,0.0,6
2014-08-04,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,24.3,32.8,10.2,0.0,0
2014-08-05,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,21.7,25.9,0.0,0.0,1
2014-08-06,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,20.1,24.2,0.0,0.0,2
2014-08-07,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,21.4,26.0,6.2,0.0,3
2014-08-08,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,19.1,22.2,1.8,0.0,4
2014-08-09,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,21.0,27.3,0.0,0.0,5
2014-08-10,2014-08-04,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,23.5,29.1,0.0,0.0,6
2014-08-11,2014-08-11,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,22.9,29.8,4.6,0.0,0
2014-08-12,2014-08-11,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,19.1,22.8,0.0,0.0,1
